stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,20.43,0,24.52,0,0,0,0,0,0,0,0,0,0,8.17,0,32.69,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,1.07,4.28,0,11.77,2.14,3.21,0,0,0,0,0,0,0,0,0,25.67,0,3.21,2.14,0,0,3.21,1.07,1.07,0,0,0,0,0,0,0
21Day,0,4.02,0,20.08,0,8.03,2.68,0,4.02,0,2.68,2.68,1.34,8.03,0,8.03,14.72,4.02,0,0,0,2.68,0,1.34,0,0,2.68,1.34,0,0,0
3Month,0,0.64,0.32,10.56,0.32,0,0,1.28,7.04,0,14.08,0.96,0,1.92,0.64,4.8,4.48,1.6,0,0.32,0.64,0.32,0,0,0.32,2.56,0,0,2.88,0.64,0.32
22Month,0,0.55,0.55,4.37,0,0,0,0.55,9.29,1.64,33.35,1.09,0,1.09,0,1.09,3.83,0.55,1.09,0.55,0,0,0,0,0,0,0.55,0,0.55,0,0
