stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,4.09
72hpf,0,0,0,0,0,0,2.14,2.14
21Day,0,1.34,0,0,0,2.68,1.34,0
3Month,0.64,0,0.32,0.32,0.32,0.32,0,0
