stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,2.14,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,2.68,0,0,2.68,0,4.02,1.34,0,0,1.34,0,0,0,0,0
3Month,1.28,0.32,8.32,2.56,0.32,0,8.64,2.56,0,13.12,0.32,0.32,2.56,2.56,0,2.24,0.32,0,0.32,8.96,0.32,62.71,6.4
22Month,3.28,0.55,1.64,1.64,0,1.09,21.32,0.55,0.55,8.2,0,0,3.28,2.73,0.55,0,0.55,0,0.55,9.29,0,0.55,1.64
