stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,8.17,0,0,0,8.17,81.73,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,4.28,0,1.07,0,0,0,9.63,6.42,0,0,5.35,0,0,0,2.14,0,0,0
21Day,1.34,0,0,8.03,1.34,2.68,0,0,1.34,0,0,1.34,0,1.34,2.68,1.34,4.02,0,10.71,0,0,0,9.37,1.34,0,1.34,6.69,1.34,0,0,0,0,0,2.68
3Month,0,2.24,0.32,24.32,0,0,0.96,0.64,11.52,1.92,0,19.2,1.92,0.96,11.2,5.12,4.8,4.8,4.48,0.64,3.52,0.96,4.16,0,1.6,0,0.64,0.64,7.04,0,0,1.92,0.96,2.88
22Month,1.09,1.09,0.55,2.19,0,0,0,0,2.73,1.09,2.73,22.41,0,0,7.65,1.64,0.55,1.09,4.37,0,1.64,0,0,0,1.09,0,0,0,1.09,0.55,0,0,0,0.55
