stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,0,0,4.09,0,4.09,40.86,0,0
72hpf,0,0,2.14,0,0,0,0,1.07,1.07,3.21,2.14,4.28,3.21,0
21Day,1.34,1.34,1.34,1.34,0,0,2.68,0,1.34,5.35,2.68,1.34,0,1.34
3Month,0,0,0,0,0.64,0,0,0,0,0.32,0,0,0,0
22Month,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0
