stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,44.95,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,21.4,0,0,0,0,0,3.21,0,0,54.56,2.14,0,0,0,0,0,3.21,3.21,0,0,2.14,0,0,2.14,0,0,0,0,0
21Day,1.34,1.34,0,69.6,0,2.68,0,1.34,4.02,5.35,0,2.68,54.88,9.37,1.34,0,0,0,0,2.68,2.68,0,0,0,1.34,0,0,1.34,1.34,0,0,6.69
3Month,0,0.64,1.28,24,3.52,9.6,0,13.76,27.2,0,17.28,0.64,5.44,9.6,0.64,0.64,0,0.32,1.28,0,0,0.96,0.32,0,1.6,4.16,0,0,0,0.64,0.64,4.48
22Month,0,1.09,3.28,16.95,6.56,19.13,3.28,33.35,14.21,2.19,44.83,1.64,4.92,4.37,2.19,0,1.64,0,0,0,0,1.64,1.09,0,0,0,0.55,0,0,0,0,1.64
