stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0,8,0,0,0,0.32,0.32,0.96,0,0,0,0.32
22Month,0.55,3.83,0.55,3.83,0.55,1.09,0,9.84,0.55,1.09,0,0
