stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,48.14,0,0,32.09,0,2.14,0,0,1.07,7.49,0,0,0,0,0,0,0
21Day,8.03,0,1.34,6.69,16.06,0,0,0,0,1.34,0,1.34,1.34,0,5.35,4.02,836.58,0,0,136.53,0,25.43,10.71,1.34,1.34,16.06,6.69,0,1.34,8.03,0,0,1.34
3Month,8.32,0.96,0.96,15.04,0,0.96,1.6,11.84,0,14.08,5.76,0,3.2,1.28,4.16,1.92,619.74,36.79,0,95.02,1.92,0.96,0.64,0.96,0.32,0.32,1.28,5.12,0,0,0.96,1.92,2.56
22Month,6.01,6.56,1.09,4.92,0,4.92,1.09,15.31,10.39,87.46,7.11,0.55,5.47,2.19,1.09,6.56,492.54,5.47,0.55,103.86,0.55,1.09,0,1.09,1.64,0,0.55,1.09,0.55,0,0,0,3.28
