stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,4.09
21Day,1.34,0,0,0,0,0
22Month,0,0.55,0.55,0.55,0.55,0
