stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,57.21,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,2.14,0,0,1.07,0,0,0,1.07,1.07,9.63,0,0,0,2.14,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,5.35,0,0,0,0,0,0,0,0,0,2.68,0,1.34,1.34,0,0,0
3Month,0.64,0.32,44.15,0.32,0.96,2.24,7.68,2.56,0.96,2.88,1.28,0.96,2.24,16,4.48,0,0.64,1.92,1.6,0.32,0,0.32,0,0.32,65.91,0.32,0,1.28,348.1,2.56
22Month,1.09,3.28,30.61,0,1.64,1.09,30.61,1.64,2.19,39.36,0,2.19,2.73,33.35,1.64,0.55,0.55,1.09,0.55,1.09,1.64,0.55,0.55,0,61.23,0,0,0,2.19,2.19
