stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,2.14,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0,0,0.32,1.6,0,0,0,3.84,0,1.28,0.32,0,0,0,0,0,2.56,0,0.96
22Month,0,0.55,0,3.28,1.64,1.64,1.64,50.84,0.55,20.23,0,1.09,1.09,0.55,0.55,0,0,1.09,0
