stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,1.07,0,0,1.07,0,0,0,0
21Day,2.68,0,0,4.02,0,0,0,0,0,10.71,0,0,2.68,2.68,0,0,0,0,2.68,1.34,0,0,0,2.68,0,0,34.8
3Month,0,0.64,0,8.32,0.32,0.64,0.96,0,2.56,0.32,6.08,0.32,0.64,2.56,0.64,0,0,0.32,0,0,0.32,0.32,0,0,0.32,0.32,24.64
22Month,0,1.09,1.09,3.28,0,0.55,2.73,1.64,5.47,0.55,8.75,0,0,1.64,0.55,0.55,0,0,0,0,0,0,0,0,0,0,22.41
