stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,1.07,0,0,0,0,0,0,0,0,1.07,4.28,2.14,1.07,0,0,0,16.05,0,0,0,3.21,0,0,0,0,0,0,0
21Day,0,0,17.4,9.37,0,0,0,0,1.34,0,2.68,0,0,0,4.02,4.02,6.69,0,0,0,21.42,1.34,0,0,5.35,1.34,0,0,0,0,0,0
3Month,1.6,0,7.68,2.24,0,0.32,0.32,1.28,7.36,0,5.44,0.64,0.96,0,7.36,10.88,5.12,1.6,0,1.6,2.56,0.32,0.64,0.32,0,0,4.48,0,0.32,0.32,0.32,0.96
22Month,1.09,0.55,2.19,0.55,0,0,0,0.55,10.93,0.55,18.04,0.55,1.64,0,1.09,6.56,6.56,0,0.55,0,0,0,1.64,0,0,0.55,6.56,0.55,0,0,0,1.09
