stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,22.76,1.34,0,0
3Month,0,0.32,0,0.32,0.64,19.84,0,0.64,0.32,0.96,0,0,0,0,0,38.39,0,0.64,0.32
22Month,1.09,0.55,0.55,0,0.55,78.72,0.55,2.19,0.55,0,0.55,1.09,0.55,0,0.55,107.69,0,0,0.55
