stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,0,1.07,2.14,0,0,0,0,0,1.07,4.28,1.07,2.14,1.07,0,1.07,1.07,0,0,0
21Day,0,0,2.68,0,0,0,1.34,0,0,1.34,1.34,2.68,0,0,0,0,0,1.34,4.02
3Month,0,0,0,0.32,0,0.64,0.96,0.32,0,0.32,0.64,0,0,0.64,0,0,0.32,0,0.64
22Month,0.55,0,0,0.55,1.09,4.92,0.55,0,0,0,0.55,0.55,0,0,0,0,0,0,0
