stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,1.07,0,9.63,1.07,34.23,28.88,0,0,4.28,0,5.35,0,0,0,0
21Day,0,0,0,2.68,0,0,0,1.34,1.34,0,2.68,28.11,4.02,22.76,12.05,0,1.34,6.69,1.34,1.34,1.34,6.69,0,0
3Month,0,0.64,0,0,0,0.96,0.32,0,0.32,0,0,0.96,0.32,0,0,0,0.32,0,0,0,0,0,0.64,0
22Month,0.55,0,0,0,0.55,2.73,0,0,1.09,0,0,1.09,0,0,0,0.55,0,0,0,0,0,0,0,0.55
