stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Muscle_cell,Primordial_germ_cell,Spermatocyte
21Day,2.68,0,0,0,0,0,0
3Month,1.6,0.32,0,0.32,3.52,0.32,0.64
22Month,0,0,0.55,0,0,0,0
