stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
3Month,0,0.32,184.29,0.32,0.32,1.92,2.56,2.88,2.88,3.84,0.32,1.6,0.64,0,0.32,1.6,0.32,3.52,1.92
22Month,0.55,0.55,19.68,0.55,0,0,1.64,0,0,0,0,0,0,0,0.55,1.09,0,0,0
