stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,1.07,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0.32,0.32,0.64,0.32,2.24,8.96,0.32,0,0.32,0.64,1.28,0.96,0.32,0.32,0,0.64
22Month,0,0,0,0,0.55,1.64,0,0,0.55,0,0,0,0,0,0,0
