stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,6.42,2.14,0,1.07,0,0,0,1.07,2.14,1.07,1.07,0,0,1.07,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,12.05,0,2.68,0,0,0,0,0,1.34,1.34,0,1.34,2.68,1.34,0,0,0,0
3Month,0,0,1.92,2.88,0.32,1.6,0.32,2.56,0.96,0.32,51.19,0.64,1.28,2.24,1.6,0.32,0,16.64,0,0,0.32,0,0.32,3.52,0,0.32,0.32,1.28
22Month,0,0.55,2.73,3.28,1.09,1.64,0,16.4,0,0,87.46,0,0,1.09,1.09,1.09,1.64,4.37,0,0,0,0,0,1.09,0,0,0,0.55
