stage,Cardiomyocyte,Endothelial_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell
72hpf,4.28,0,3.21,2.14,1.07,237.49,1.07,3.21,0,3.21,3.21
21Day,0,1.34,0,2.68,0,34.8,32.12,0,2.68,0,0
