stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,2.14,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,0
3Month,0,1.6,0,0,0,0.32,1.28,1.92
22Month,0,1.09,0.55,0,0,0,0,0
