stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,16.35,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,2.14,1.07,5.35,8.56,0,2.14,1.07,0,0
21Day,1.34,2.68,1.34,1.34,0,1.34,1.34,1.34,0,12.05,10.71,2.68,1.34,2.68,0,0,0
3Month,0,0,0,0,0.32,0,0,0,0,0.32,0,0,0.32,0,0.32,0.32,0.64
22Month,0,0,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0.55,0,0
