stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,16.35,0,0,8.17,12.26,0,0,0,0,0,0
72hpf,0,1.07,1.07,1.07,1.07,0,0,0,0,0,0,0,1.07,0,1.07,0,0,1.07,3.21,1.07,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,2.68,1.34,0,2.68,1.34,2.68,0,0,0,0,0
3Month,0,0.96,2.56,0,0.32,0,0,0.96,6.4,0.64,0.64,0.32,0.96,0.64,0.96,0.64,0.96,0,0,0,0.32,10.24,0.96,2.56,1.6
22Month,0,0,0.55,0,0,0.55,0.55,0.55,17.49,0,0.55,0,0,1.09,0.55,0,0,0,0,0,0,0,0,0,1.09
