stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,4.09,20.43,0,0,0
72hpf,3.21,0,1.07,0,0,0,1.07,0,5.35,0,0,8.56,5.35,0,0
21Day,2.68,1.34,0,0,0,0,0,0,6.69,1.34,0,1.34,2.68,1.34,1.34
22Month,0.55,0,0,0.55,3.28,0.55,0,0.55,0,0,0,0,0,0,0
