stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,5.35,4.02,0,1.34,0,0,0,1.34,12.05,0,0,1.34,0,0,0,0,0,1.34,2.68,0,0,0,0,0,0,46.85
3Month,0,0.64,0,3.52,0,0.96,0,0.32,0.96,3.2,3.2,0.64,0.64,0.64,6.4,2.88,1.92,0,0.64,0.32,0,0,0.32,1.6,1.6,0.32,0.64,0.96,142.38
22Month,0.55,1.64,0,0.55,0,3.28,0,0.55,2.73,10.93,1.64,0.55,1.64,0.55,12.03,2.19,0,0.55,0,0,0,0,0,1.09,0,0,0.55,0,171.1
