stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,16.35,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,16.35,0,0,0,0,0,40.86,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,2.14,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0,1.07,1.07,1.07,6.42,0,0,0,1.07,24.61,11.77,0,0,8.56,0,0,1.07,0,2.14,0,0,0
21Day,2.68,0,26.77,10.71,1.34,0,0,0,0,1.34,0,0,0,0,13.39,0,5.35,1.34,16.06,0,0,0,0,2.68,0,0,0,6.69,1.34,0,1.34,0,1.34,0,0,1.34
3Month,0.32,3.84,479.92,45.75,0,3.84,0.32,0.32,22.08,16.64,0.32,84.15,25.6,0.32,1959.37,4.48,14.4,8,22.72,5.44,0,7.04,6.08,3.2,0.64,6.08,1.6,0.64,15.36,21.44,1.28,0.32,0.32,3.2,6.72,11.52
22Month,1.09,2.19,82.54,4.92,0,0,0,0,2.19,2.73,1.64,41.55,0.55,0,206.64,0,0.55,4.37,4.92,0,1.09,0.55,0,0,0,0.55,0.55,0,0,2.73,0.55,0.55,0,0,0,2.19
