stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,61.3,0,0,8.17,0,0,0,0,0,0,0,0,0,0,8.17,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,56.7,2.14,0,27.81,1.07,0,0,0,0,0,0,0,9.63,0,10.7,0,8.56,2.14,0,1.07,6.42,0,0,1.07,0,0,0,0
21Day,37.48,0,0,5.35,4.02,0,0,0,1.34,0,0,0,1.34,4.02,9.37,1.34,17.4,4.02,0,20.08,0,1.34,0,0,1.34,0,0,1.34
3Month,0.32,0.32,0,2.56,0,0.64,0.32,0.32,2.88,0.96,1.92,0.32,6.72,1.28,7.36,0,0,0,0,3.84,0,0.32,0.96,0,0,0.64,0.64,0.96
22Month,0,0.55,0.55,0.55,0,0,0,0.55,4.37,1.09,0,0,0,8.2,0.55,0,0,0,0.55,3.28,0,0,2.19,0.55,0,0,0,0
