stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,8.17,114.42,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,6.42,2.14,0,0,0,0,0,0,0,0,4.28,9.63,0,27.81,0,1.07,0,0,38.51,42.79,1.07,13.91,0,0,11.77,0,0,0,0,0
21Day,12.05,0,2.68,1.34,5.35,0,0,0,1.34,0,1.34,0,0,5.35,0,26.77,0,1.34,6.69,0,22.76,13.39,0,9.37,2.68,0,1.34,1.34,0,0,0,0
3Month,0,0.96,2.88,0,0,0.32,0.32,0,2.24,0,0,1.6,0,1.92,0.32,5.12,0.96,0,0.32,0.96,0.32,0.32,0,0,0,0.64,0,0,0.64,0.32,0.96,0.32
22Month,0,0,1.09,0,0,0,0.55,0.55,3.83,0.55,0,0,0,1.09,0,1.64,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0
