stage,Endothelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Neural_cell,Neurosecretory_cell,Retinal_pigment_epithelial_cell,T_cell
21Day,0,0,0,0,0,0,1.34,0
3Month,0.32,0.32,0,0.32,0.32,0.32,0,0.32
22Month,0,4.92,0.55,0,0.55,0,0,0
