stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,8.17,8.17,4.09,0,0,0,0,0,0,0,4.09,4.09,0,8.17,0,12.26,269.7,0,0,8.17,0,0,0,0,0,0
72hpf,4.28,0,48.14,1.07,0,0,0,0,0,0,3.21,11.77,0,8.56,0,41.72,116.61,0,1.07,12.84,0,0,238.56,1.07,0,0
21Day,0,9.37,0,1.34,0,0,0,0,0,0,0,0,0,10.71,0,2.68,12.05,0,1.34,8.03,0,0,5.35,0,0,0
3Month,0,5.76,0,0,0.32,0.32,0.64,4.8,0,0.32,0.64,2.24,0.32,0.96,0.64,0.32,0,0.32,0,0,0.32,3.52,0,0,0.64,4.48
22Month,0,7.65,0,0,0,0,0.55,4.92,1.09,1.64,0,1.09,0.55,3.28,0,1.09,0,0.55,0,0,0,8.2,1.09,0,0,0
