stage,Epithelial_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,4.09,4.09
72hpf,0,1.07,1.07,0,0,1.07,2.14,0
21Day,1.34,0,1.34,1.34,2.68,1.34,0,0
