stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,20.33,4.28,0,0
21Day,2.68,0,2.68,0,0,0,1.34,53.54,0,8.03,2.68,10.71,6.69,0,0,29.45
3Month,0.96,0.32,0,0.32,0,0,0.32,0,0,0.32,0.32,0,0.64,0,0.32,16.32
22Month,0,0,0,0,0.55,1.09,0,0,0,0,0,0,0,0,0,4.37
