stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
3Month,1.28,0.32,9.6,0.64,0.32,3.52,0.96,9.28,0.64,0.96,8.96,0.32,0.96,2.24,0.64,1.28,0.32,0.32,0,0.32,9.92,1.28,10.56,2.24
22Month,1.64,0,0.55,0,0,0.55,0,2.73,0,0.55,3.28,0.55,0,1.09,0,0,0,0,0,0,0,0,0,0
