stage,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,4.09,8.17,0,0,53.12,0
72hpf,0,2.14,1.07,1.07,3.21,0
21Day,0,1.34,0,0,4.02,1.34
