stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,1.34,0,53.54,0,0,0,0,1.34,0,1.34,29.45,2.68,0,1.34,0,1.34,0,0,0,1.34,1.34,0,0,0
3Month,0.32,0.64,0.64,155.82,0.32,1.28,5.76,1.6,0,2.56,7.04,14.08,0.64,1.28,0,1.28,1.6,0,0.32,3.52,0,0,0.32,2.56,3.84
22Month,0,0,0,7.11,0,0.55,1.64,0,0,1.09,0.55,0.55,0.55,0,0.55,0,0.55,0,0,0.55,0,0,0,0,0.55
