stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,T_cell
72hpf,1.07,0,0,0,6.42,0,0
21Day,0,4.02,0,1.34,17.4,0,0
3Month,0,0.64,0,0,0,0,0.32
22Month,0,0,4.37,0,0,1.09,0
