stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
21Day,0,0,0,0,0,0,0,0,0,4.02,0,0,0
3Month,1.92,0.64,1.6,0.32,0.64,0.32,0.32,0.64,0.32,60.47,0.32,0.32,19.52
