stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,1.07,0,2.14,0,0,0,0,0
21Day,4.02,0,0,1.34,1.34,0,0,0,0,1.34,0,1.34,0,0,1.34,0,1.34,0,2.68,0,0,1.34,0,0,0,0,4.02,37.48,0,0,0,0,0
3Month,0,0.64,0,10.24,0,0.96,1.28,2.88,0,16.32,4.16,0,5.44,0.96,3.52,2.88,3.2,1.28,0.64,1.28,1.28,0.32,0.96,1.6,0,0,4.16,569.19,0.96,0.32,1.92,80.63,3.84
22Month,0,0.55,0.55,2.19,0,0,0,0.55,0.55,9.84,0,0,3.28,0,0,2.19,1.09,0,1.09,0,0,0,0,0.55,15.31,0,0.55,189.69,0.55,0,0,0,0
