stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,3.21,1.07,2.14,2.14,2.14,0,0,0,0,0,0,0,0,26.74,4.28,0,59.91,0,1.07,4.28,1.07,14.98,5.35,0,143.35,0,0,2.14,1.07,4.28,0,0,0
21Day,1.34,0,5.35,0,4.02,0,1.34,0,0,2.68,2.68,0,1.34,0,8.03,0,156.61,0,0,26.77,0,2.68,4.02,0,72.28,2.68,0,2.68,0,1.34,0,0,0
3Month,0.32,0.64,3.2,0.96,0,0.64,0.32,1.92,0,2.56,0.64,0.96,0.32,0.32,0.64,0.32,35.83,3.2,0,2.56,4.8,0,0,0,0.64,0.64,11.2,0,0,2.56,5.44,1.6,0.32
22Month,0,0,1.64,0,0,0.55,0,3.83,2.19,9.84,0,3.83,0,0,0,0.55,10.93,1.09,0.55,0.55,0,0,0,1.09,0,0,3.83,0,0,0,0,0,0
