stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,4.28,3.21,0,1.07,0,0,0,38.51,12.84,0,0
21Day,6.69,13.39,16.06,0,0,0,1.34,1.34,5.35,2.68,1.34,6.69,4.02,18.74,0,2.68,18.74,14.72,1.34,6.69,2.68,0,1.34,294.48,1199.33,0,1.34
3Month,0,0,0,0,0,0,0.96,0,0,0,0,0.64,0.64,0,0,0,0,0,0,0,0,0,0,0.32,0,0.64,0
22Month,0,0,0,0.55,4.92,0.55,23.51,0.55,0,1.09,0,0,1.09,2.73,0.55,0,0,0.55,0.55,0,0,2.73,0.55,184.77,0.55,0,0
