stage,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell,T_cell
72hpf,0,0,2.14,21.4,1.07,0,0
21Day,0,0,0,6.69,0,0,0
3Month,0.96,0,0,0.96,0,0.32,0.32
22Month,0,0.55,0,0,0,0,0
