stage,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_cell,Oocyte,Primordial_germ_cell,Spermatocyte
24hpf,0,0,8.17,0,0,0,0
21Day,0,0,1.34,0,0,2.68,0
3Month,0.64,0,0.96,0.32,0,3.52,2.56
22Month,0.55,0.55,0.55,0,1.09,20.77,0
