stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,4.09,4.09,12.26,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,32.69,0,8.17,192.06,0,0,12.26,0,0,0
72hpf,4.28,0,1.07,1.07,0,0,1.07,0,0,0,1.07,0,0,0,3.21,3.21,0,5.35,0,44.93,35.3,0,1.07,5.35,2.14,3.21,0
21Day,1.34,0,9.37,0,2.68,0,2.68,0,0,0,0,0,1.34,0,2.68,0,0,10.71,0,8.03,13.39,0,1.34,2.68,4.02,5.35,1.34
3Month,0,0.32,0.64,0,0,0,0,0,0.32,0,0.64,0.32,0,0.64,0,0.32,0.96,0.64,0,0.32,0,0.64,0,0,0,0,0
22Month,0,1.09,1.09,0,0,0.55,0.55,0.55,0.55,0.55,2.73,0,1.09,0.55,0,0,0,1.64,1.09,0,0,0.55,0,0,0.55,0,0
