stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,12.26,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,2.14,0,0,13.91,1.07,11.77,0,0,0,0,0,1.07,0,2.14,9.63,1.07,11.77,1.07,845.14,35.3,2.14,1.07,10.7,0,0,10.7,0,0,2.14,0,0
21Day,8.03,0,0,9.37,0,5.35,0,0,0,1.34,0,4.02,4.02,0,8.03,0,5.35,0,325.26,6.69,0,1.34,1.34,6.69,0,1.34,0,14.72,1.34,0,2.68
3Month,0,0,0.32,1.28,0,0,0,0.32,0,2.56,0.96,0,0.64,0,0.32,0.96,0.64,0,23.36,0,0.32,0,0,0,0.96,1.28,0,0,0,0.96,0.96
22Month,0,0.55,0.55,2.73,0.55,0,0.55,3.28,20.23,21.87,1.64,0,7.11,0,0,2.19,1.09,0,48.11,0,0,0.55,0,0,1.09,25.15,1.09,0,0,0,0
