stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,3.21,0,10.7,2.14,8.56,0,0,0,0,0,0,1.07,0,2.14,11.77,1.07,10.7,0,1.07,36.37,6.42,0,8.56,0,0,0,0,0,0,0,0
21Day,9.37,2.68,0,22.76,0,1.34,0,0,0,1.34,0,0,1.34,1.34,0,13.39,5.35,29.45,4.02,0,44.17,5.35,0,13.39,1.34,0,2.68,0,1.34,0,0,1.34
3Month,0,0.32,0.32,4.48,0,0,0,0.32,1.28,0,1.6,0.64,0,0.64,0.64,2.24,1.28,2.88,0,0.32,0,0,0,0.32,0.64,16,0,0.32,0,0.32,4.16,0.96
22Month,0,0.55,0,0.55,0,0,0.55,0,0,0,1.09,0,0,0,0,0.55,1.09,1.09,0,0,0.55,0,0.55,0,0,3.83,0.55,0,0,0,0,0
