stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,12.26,0,0,4.09,73.56,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,17.12,8.56,0,1.07,0,0,1.07,0,0,0
21Day,1.34,0,2.68,1.34,2.68,1.34,0,0,0,1.34,0,4.02,0,0,4.02,0,12.05,0,0,2.68,4.02,0,2.68,0,0,1.34,0,0,0
3Month,0,1.6,5.76,0,0,0,0.32,0.64,0.64,2.88,1.28,0.32,1.6,0.32,2.56,1.28,0.96,0,0,0.32,0,0,0,0.96,8.64,0.32,0.64,25.92,0.96
22Month,0,0.55,2.19,0,0,0,0,0,1.09,6.56,0.55,0,2.73,0,0.55,0.55,1.09,0.55,0,0,0,0.55,0,0,0.55,0.55,0,0,0.55
