stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,53.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,12.26,102.16,0,0,0,0,0,0,0,0,0
72hpf,12.84,0,6.42,0,2.14,0,0,0,0,0,0,0,0,0,6.42,1.07,34.23,1.07,0,389.4,62.05,0,6.42,16.05,0,8.56,1.07,0,0,0
21Day,14.72,2.68,8.03,1.34,0,1.34,0,1.34,0,1.34,0,0,0,1.34,1.34,1.34,21.42,0,0,74.96,18.74,0,0,4.02,2.68,0,2.68,0,0,0
3Month,0,0.96,4.8,0,0,0,0,1.28,0,2.88,1.28,0,1.92,0,0.64,0.96,4.8,0,0.64,0.96,0.32,0.32,0,0,3.2,0,0,0.32,0.32,0.32
22Month,0,0.55,2.19,0,0,0.55,0.55,1.64,0.55,21.32,1.09,0.55,3.28,0,0.55,1.64,3.83,0.55,0,0.55,0,0.55,0.55,0,1.64,0.55,0,0,0,0.55
