stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,143.02,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,4.28,1.07,10.7,0,1.07,0,0,4.28,6.42,5.35,104.84,1090.12,1.07,11.77,0,5.35,1.07,0,1.07,0
21Day,4.02,0,2.68,0,6.69,1.34,0,1.34,1.34,0,1.34,1.34,4.02,141.88,0,0,4.02,0,1.34,1.34,0,2.68
3Month,0,0,0.32,0,0,0,0.32,0,0,0,0,0,0.32,2.88,0,0,0,0,0,0,0,0
