stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,24.52,0,0,0,0,0,0,445.42,0,0,0,0,0,4.09,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,35.3,24.61,0,39.58,4.28,20.33,1.07,0,1.07,0,1.07,0,0,2.14,0,6.42,53.49,2.14,46,1.07,3.21,2.14,6121.34,130.51,4.28,1.07,60.98,0,0,25.67,1813.3,2395.26,3.21,0,0,0
21Day,56.22,14.72,2.68,136.53,10.71,81.65,16.06,1.34,8.03,2.68,0,21.42,4.02,45.51,10.71,6.69,70.94,18.74,127.16,0,24.09,2.68,787.06,66.93,5.35,6.69,58.9,50.86,2.68,18.74,2296.92,10729.68,12.05,1.34,0,24.09
3Month,0,0,0,2.24,0,0,0,0.32,1.28,0,0,2.56,0.96,0.32,0.64,0.32,4.8,0,0.32,0,0.64,0.32,6.4,0.32,0.64,0,0,0.32,6.72,0.32,8,10.88,0,2.56,1.92,0
22Month,0,0,0,1.09,0,0,0,0,3.28,0,0,8.75,0,0,2.19,0,0.55,1.09,0.55,0,0,0,6.56,0,0,0,0.55,0,5.47,2.19,26.79,0.55,0,0.55,0,1.09
