stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,1.34,0,0,1.34,1.34,0,0,33.46
3Month,0,0.32,0.32,2.88,0.32,1.92,0,3.2,4.8,0,3.52,0.32,3.2,3.2,2.24,2.56,0,0,0.32,1.6,0.64,4.16,3.2,1.6,263.64
22Month,2.73,0,0,1.09,0,1.64,1.64,10.93,0,0,0.55,0,0,7.65,0,0.55,0.55,0,0.55,0,0,1.64,0,0,324.71
