stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,8.17,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,6.42,1.07,1.07,0,0,1.07,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,2.68,0,0,2.68,1.34,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,9.37
3Month,0,0,4.8,0.32,0.32,0,1.28,0.96,6.4,1.6,0,2.24,0,1.92,2.24,2.88,0.32,0,0,0.64,0.64,0,0,0,2.56,107.82,0.32,0.96,12.8,45.43
22Month,0.55,3.28,3.83,0,0.55,0,2.73,3.83,425.3,1.09,1.09,141.58,0,0,2.19,2.19,0,9.29,0.55,0,0,0,0.55,1.09,4.37,89.65,1.09,0,0.55,7.65
