stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,17.12,0,0,0,0,0,0,0,0,0,18.19,0,1.07,0,0,0,4.28,5.35,0,1.07,0,0,0,0,0
21Day,2.68,0,0,62.91,1.34,0,0,0,0,0,0,0,0,13.39,0,2.68,0,0,0,4.02,8.03,0,0,1.34,0,0,0,0
3Month,0,0,0,49.27,0,0.32,2.56,0,7.68,1.6,0,1.92,0.64,65.91,0.64,1.6,0,0.32,0.32,3.52,0.96,0,0.32,0.96,9.6,2.24,12.16,0.96
22Month,0,0.55,0.55,13.67,0,0,3.83,0.55,10.93,1.09,0.55,3.28,0.55,10.93,0.55,3.28,0.55,0,0,0.55,0,1.09,0,0,5.47,0.55,0,0
