stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,16.35,0,28.6,0,0,0,0,0,0,0,8.17,0,0,0,0,0,28.6,28.6,40.86,0,0,0,0,20.43,192.06,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,3.21,1.07,4.28,0,0,0,0,0,0,0,0,1.07,0,1.07,37.44,0,6.42,0,0,2.14,0,70.61,37.44,0,1.07,0,5.35,0,2.14,0,0,0,0,0,0
21Day,2.68,0,0,4.02,0,1.34,0,0,0,0,0,0,0,0,1.34,0,1.34,1.34,0,13.39,0,0,2.68,0,14.72,5.35,0,0,0,12.05,1.34,0,6.69,29.45,0,0,0,0
3Month,0,0.96,0,4.48,0,0,0,0,2.56,0.64,0,0,5.76,0.96,0.32,3.2,0.32,4.16,3.52,4.48,1.6,0,1.28,0.32,0.32,0,0.32,0,0,0,18.88,0.96,0.32,0,0.32,0,2.56,1.6
22Month,1.09,15.85,3.28,21.87,0,0,1.09,1.09,4.37,25.69,9.84,0,115.89,9.84,3.28,14.21,1.09,5.47,13.67,28.43,0,7.65,2.73,1.09,1.64,0,2.73,1.09,1597.32,0.55,2.19,3.28,1.64,0,0,0.55,0,4.37
