stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,24.52,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,27.81,0,9.63,0,0,0,0,0,0,0,0,0,0,0,0,19.26,0,7.49,0,3.21,0,25.67,10.7,0,1.07,3.21,0,0,9.63,0,0,0,0,0,0
21Day,4.02,20.08,0,196.76,4.02,0,0,0,0,0,0,0,0,2.68,1.34,1.34,52.2,1.34,14.72,0,20.08,0,13.39,9.37,1.34,2.68,0,1.34,0,6.69,2.68,1.34,0,0,0,1.34
3Month,0.64,21.44,0,122.54,0,0.32,0.32,0,0.64,0.96,0,5.76,2.24,0.32,3.2,0.64,64.63,2.56,8.32,0.96,0.96,1.28,1.92,0.64,0.32,0.96,0.32,0.32,6.08,1.28,0,0,0,27.84,0.32,1.28
22Month,0,39.36,0.55,27.88,0,0,0,0.55,0,1.09,2.73,11.48,0,0.55,0.55,0.55,12.57,1.64,7.11,0,1.09,0,2.19,0,0,0.55,0,0,0.55,1.64,0.55,0,0.55,7.11,0,0.55
