stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,102.16,0,0,0,0,0,0
72hpf,2.14,0,2.14,0,1.07,0,0,0,0,2.14,0,0,2.14,0,2.14,1.07,27.81,10.7,5.35,0,0,1.07,0,0
21Day,1.34,0,10.71,0,0,1.34,0,0,1.34,1.34,0,2.68,0,1.34,6.69,0,10.71,9.37,5.35,1.34,1.34,0,0,0
3Month,0,0,1.6,0.32,0,0,0.32,0,0.32,0,0.64,0,0.64,0.32,1.28,0,0,0,0,0,0.96,0,0.32,0.32
22Month,0,1.09,0,0,0,0,0,1.09,4.37,0,0,0,0.55,0.55,0.55,0,0,0,0,0,0,0,0.55,0
