stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,12.84,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,0,0,11.77,0,0,0,0,0,0,0,0
21Day,0,0,0,12.05,18.74,0,0,0,2.68,0,0,0,5.35,0,1.34,34.8,5.35,0,0,0,0,0,17.4,0,0,0,0,0,0,0,1.34
3Month,0.64,2.88,0.32,62.71,20.8,0,0.32,1.6,11.52,0,4.16,3.84,0,5.12,4.48,12.16,20.16,6.4,5.76,0,0.32,1.92,52.15,0.64,0.32,0,9.6,0.96,0.32,8,3.52
22Month,0,0,2.19,36.08,7.65,0.55,0,0,50.84,23.51,75.98,2.73,1.64,4.92,2.19,15.31,7.11,4.37,0.55,1.64,0,1.64,20.23,0,2.73,1.09,9.29,1.09,0,0,0.55
