stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,8.17,0,12.26,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,61.3,0,0,0,0,0,0
72hpf,3.21,0,1.07,1.07,0,0,0,1.07,0,0,2.14,3.21,0,4.28,0,0,1.07,51.35,10.7,5.35,0,7.49,1.07,2.14,0
21Day,1.34,1.34,6.69,1.34,0,0,0,1.34,0,0,0,2.68,0,9.37,0,0,0,34.8,2.68,9.37,0,1.34,4.02,0,1.34
3Month,0,0.96,1.92,0,0.32,0.64,0,1.28,0.32,0,0,0,0,0.64,0.32,0,0,0.32,0,0,0.32,0,0,0,0
22Month,0,0.55,3.28,0,0,1.64,0.55,40.45,0,4.92,0,0.55,1.64,4.37,0,0.55,0.55,0,0,0,1.09,0.55,0,0,0
