stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,1.07,0,3.21,1.07,3.21,0,0,0,0,0,0,0,0,2.14,10.7,0,7.49,0,1.07,261.03,36.37,0,2.14,9.63,0,0,5.35,1.07,3.21,0,0,0
21Day,5.35,1.34,0,14.72,0,4.02,1.34,0,0,0,1.34,0,1.34,0,0,4.02,1.34,13.39,0,2.68,80.31,17.4,0,0,4.02,5.35,0,2.68,1.34,1.34,0,0,1.34
3Month,0,0,0,2.56,0,0,0,0.64,0,0,6.08,0,0,0.32,0.32,0.64,0,0.32,0,0.32,0,0,0,0,0,0.64,0.64,0,0,0,0.32,0.32,0
22Month,0,1.09,0.55,4.37,0,0,0.55,0.55,1.09,2.73,41,0.55,0.55,4.92,0,0,3.83,4.92,1.09,0.55,0,0,1.09,0,0.55,0.55,0,0.55,0,0.55,0,0,0.55
