stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell
72hpf,0,0,1.07,1.07,0,0,0
21Day,1.34,0,0,0,0,1.34,0
3Month,0.32,0,0,0,0,0,0.96
22Month,0.55,3.83,0,0.55,0.55,0,0
