stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,12.26,0,0,0,0,8.17,32.69,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,3.21,0,2.14,0,0,0,0,1.07,0,0,0,0,0,0,18.19,0,1.07,0,0,0,0,8.56,1.07,0,0,0,1.07,0,0,1.07,0,0,0
21Day,0,0,0,14.72,0,0,1.34,0,0,0,1.34,0,2.68,1.34,2.68,14.72,4.02,4.02,0,0,2.68,0,2.68,0,0,0,0,0,0,1.34,1.34,0,0,2.68
3Month,0.32,4.16,8.32,135.98,0.64,1.28,0.32,28.48,14.4,0,47.35,15.04,1.92,140.78,8.64,28.48,18.56,7.68,2.88,0,8.64,4.8,1.92,0,7.04,0.64,0,0.96,1.92,22.08,0.32,6.08,5.76,27.84
22Month,0,6.56,11.48,55.76,0.55,2.19,1.64,17.49,28.97,6.01,138.3,24.6,6.01,170.56,2.73,9.29,33.89,9.84,1.09,8.2,10.93,0.55,3.28,0,3.83,2.19,0.55,0,0,6.56,1.09,1.09,0,14.76
