stage,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Pancreatic_cell,T_cell
21Day,0,0,1.34,0,1.34,0
3Month,0.32,0.32,0.64,0.32,0,0.32
22Month,0,1.64,0,0,0,0
