stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,2.14,0,1.07,0,0,37.44,8.56,0,3.21,0,0,2.14,1.07,0,0,0,0
21Day,2.68,0,0,4.02,1.34,0,0,2.68,0,0,0,0,0,1.34,0,0,1.34,1.34,6.69,0,0,2.68,0,18.74,14.72,0,4.02,2.68,1.34,1.34,0,0,0,0,1.34
3Month,0,1.28,0,7.68,0,0,0,0,1.28,0.96,0,10.24,0.64,0.32,1.92,0.64,4.16,1.28,5.76,1.6,0,0.32,7.36,0,0,0.64,0,1.6,37.11,0,0,0.32,4.16,3.2,6.4
22Month,0,2.19,0.55,7.65,0.55,0,0.55,0.55,0.55,2.19,3.28,69.97,1.09,4.37,3.28,0,1.09,2.73,6.56,0,1.64,1.09,0,0.55,0.55,1.09,0.55,0.55,14.76,0.55,0,0.55,0,0,8.2
