stage,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,2.14,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0
3Month,0,0.32,1.6,1.92,0.64,0.32,0.32,0,0,0.64,4.8,0,8.96
22Month,0.55,0,0,6.01,0,0,0,0,0,0,0,1.09,0
